member_id,Recency,Frequency,Monetary
147471834,105,185,930927.0000
147382194,101,84,1322.0000
53835122,7,5049,48121.0000
92823232,0,1531,730161.0000
112482092,0,21690,5268870.0000
144181080,38,216,15448.0000
144371611,63,6806,518228.0000
141451592,2,174,21732.0000
68039554,12,3082,1968632.0000
115504989,-1,24724,16933003.0000
147621444,54,881,201712.0000
140637958,2,1482,1115477.0000
110698813,57,1006,233848.0000
147214130,95,478,41946.0000
57809946,38,1999,52236.0000
84335534,0,135,26334.0000
38380793,0,29,582.0000
134079805,72,5878,1155076.0000
122742831,0,20967,2074775.0000
40677431,0,13998,7348682.0000
142728575,41,251,8587.0000
146497826,5,978,220394.0000
147621867,125,2,66.0000
128173476,0,13387,697905.0000
146707579,49,66,10752.0000
146992042,0,13653,8147221.0000
115968087,5,11265,2692816.0000
145372097,124,11,614.0000
144201773,125,8,240.0000
101038107,3,38405,3172006.0000
143736115,2,335,10308.0000
125141722,3,7156,718569.0000
147242952,51,63,247000.0000
67363013,1,11584,1689030.0000
147622257,12,635,60200.0000
142314550,62,50,15410.0000
87322399,125,5,113.0000
123447999,17,38,7750.0000
139264022,0,7188,8346805649.0000
147295333,36,444,17626.0000
145268215,113,266,12221.0000
147277820,114,9,144.0000
137452066,89,10,1925.0000
130323246,9,3689,112362.0000
116934479,64,404,15647.0000
132978888,4,259,113765.0000
121179436,11,3199,142767.0000
144664991,6,1205,1654196.0000
144136372,25,1270,46657445.0000
146637657,107,1002,35493.0000
142780650,125,97,11880.0000
112031007,0,50310,1071747.0000
114167088,116,214,44972.0000
146971304,11,6622,295340.0000
18786398,74,297,24716.0000
142074850,86,179,22958.0000
131332554,9,398,3381.0000
29391938,0,982,416950.0000
147622970,86,119,3110.0000
146369507,125,22,520.0000
146960250,120,65,5418.0000
130207970,0,9282,9241190.0000
145921390,124,2,166.0000
144063123,107,10,2269.0000
147670200,124,23,2843.0000
147372486,100,480,6658.0000
140257147,0,4576,313518.0000
135785974,0,8032,10559373.0000
112427601,8,444,299673.0000
132499625,1,20953,282429.0000
128155048,122,265,1500.0000
134972381,71,8344,93523.0000
146656708,1,28,450.0000
127260036,0,13450,496488.0000
144294486,9,292,69184.0000
144984331,124,12,31.0000
98096610,1,876,584850.0000
139482487,82,221,12748.0000
147363469,58,2548,252508.0000
113502830,57,28,840.0000
100248838,99,590,18609.0000
27770117,-1,3221,5556478.0000
143341635,0,997,70917.0000
145924931,5,15536,3345189.0000
115501964,4,4121,1143173.0000
94725726,73,2728,426136.0000
142291658,0,3834,589052.0000
62168013,97,970,41474.0000
105103510,0,16276,2413794.0000
137362762,123,28,670.0000
147300550,4,1215,140686.0000
144042968,102,4418,4893672.0000
142235822,0,494,49917.0000
145396142,5,670,34314.0000
70320578,1,745,116487.0000
147631232,42,4493,216882.0000
147020356,58,1905,12144213.0000
145022875,25,1680,168000.0000
130603880,123,11,1180.0000
145196767,49,514,143874.0000
143088818,31,1565,39370.0000
140354038,16,7753,886068.0000
122965979,108,80,243924.0000
121035638,0,19836,3615953.0000
146683351,31,1778,1811560.0000
146380026,120,2351,379867.0000
147712405,123,8,600.0000
138986449,64,123,15048.0000
115961120,49,338,15686.0000
147076053,0,1159,257333.0000
147299158,67,92,2693.0000
128527625,108,167,125253.0000
89128383,-1,14766,675603.0000
133702767,76,849,33362.0000
63473857,-1,6372,214747.0000
144662733,66,1456,1057777.0000
123522051,63,630,27041.0000
137205378,1,4349,926997.0000
146127646,125,11,210.0000
143558665,73,121,82202.0000
147585644,108,342,630004.0000
115307999,17,1663,105153.0000
147629222,125,11,3350.0000
147411892,109,74,15445.0000
137319679,81,266,60651.0000
97995888,2,1573,746250.0000
147070673,35,564,102934.0000
143028062,125,105,8780.0000
139597297,14,48,8987.0000
132768031,23,1831,357675.0000
143034130,3,8004,415892.0000
124483343,1,3896,32880.0000
142067167,0,1534,317124.0000
146956712,6,379,10480.0000
135395718,3,6686,1838097.0000
146176258,108,2240,80282.0000
72705968,1,1643,54388.0000
147427762,124,106,2510.0000
123274331,61,4526,1276829.0000
147629751,125,5,2767.0000
143803761,0,161,9579.0000
121084643,82,38,22624.0000
141661201,62,1160,120320.0000
147629965,125,4,540.0000
120013263,2,23264,3832707.0000
144273810,29,1837,34514.0000
145486782,76,1922,332465.0000
146390776,23,487,203638.0000
146705500,0,1660,47403.0000
131389355,0,39196,5858276.0000
147888452,118,51,532.0000
121426388,2,9205,1084466.0000
143442139,112,2,776.0000
136904813,107,279,16408.0000
147922206,118,4,220.0000
126339284,0,15135,352000.0000
145332889,45,1193,205849.0000
147922097,118,36,1160.0000
120046662,0,30447,7636016.0000
9764087,90,2574,377996.0000
147922659,118,8,1050.0000
143069350,2,7744,974439.0000
143762242,99,102,1571.0000
147922908,14,175,13933.0000
130547767,9,1277,889442.0000
125982920,22,705,5868931.0000
136929455,0,2234,148844.0000
145377820,0,585,79002.0000
147676524,124,12,180.0000
147677310,124,4,520.0000
136492659,115,1190,86524.0000
128873108,1,192,11686.0000
77924343,6,1975,188575.0000
128593729,0,2889,44420088.0000
147431490,115,531,4267992.0000
75499044,0,2645,6048337.0000
147475867,0,536,11772.0000
142012802,0,3418,846249.0000
142549082,1,16060,10787655.0000
140427975,53,35,1886704.0000
147677970,94,3,200.0000
144323076,114,51,3006.0000
123134315,73,19,2728.0000
124720370,124,1,1000.0000
42857550,0,9223,175960.0000
115520711,0,678,15997.0000
122551885,0,83778,18677335.0000
147367656,46,710,13584.0000
146675915,81,16,881.0000
143588843,98,360,4547.0000
123700531,1,21778,978766.0000
95501760,0,765,155288.0000
132483765,102,5024,455662.0000
129065058,55,16828,1174836.0000
45686738,0,21720,226741.0000
147879632,118,3,69.0000
146439744,0,15862,2363573.0000
125015291,2,294,19140.0000
143340639,37,52,1850.0000
113007707,10,3703,56618.0000
128842157,0,16959,943096.0000
147218252,91,3513,39792.0000
147828254,45,1059,142295.0000
147880441,119,12,1356.0000
142942579,22,258,5514.0000
142678931,47,1961,295014.0000
125110410,0,94,30959.0000
112039986,57,377,62710.0000
147880564,119,2,41.0000
146275603,101,122,12956.0000
114220633,95,236,12533.0000
147606624,92,142,3990.0000
147793098,121,8,236.0000
116252655,0,200,715.0000
122009971,110,2102,9252.0000
118993547,0,971,41002095.0000
133134812,42,5474,953645.0000
51255442,0,1014,293089.0000
147224699,0,1637,38779.0000
147770897,107,580,32485.0000
147531205,112,72,3850.0000
142218473,19,2847,57456.0000
91538275,89,3328,189760.0000
147793563,121,3,58.0000
146200123,23,3563,1119170.0000
143225988,39,36,3274.0000
140737731,2,3024,163607.0000
140693726,97,2044,52635.0000
134949425,10,1407,615311.0000
124196482,0,1132,739617.0000
126909060,16,1264,34266.0000
147789708,107,178,8540.0000
147790048,120,965,18698.0000
129779371,19,959,649102.0000
146265840,113,59,5184.0000
143456914,72,2587,52234.0000
65990462,0,17080,3859310.0000
146566221,105,104,4361.0000
131178027,5,1146,72839.0000
147747897,0,10788,34376413.0000
104978337,13,837,82254.0000
141154359,74,349,30331.0000
142029020,0,1610,1600289.0000
147753939,122,31,1350.0000
46987861,0,18607,22454135.0000
3738854,8,1683,107695.0000
147541001,122,51,1581.0000
142048193,122,10,1050.0000
102303708,11,432,36359.0000
82283976,8,482,949547.0000
146710588,11,1878,158149.0000
147755092,122,3,120.0000
145885163,31,142,3794.0000
142188489,122,31,3050.0000
147627704,93,148,10917.0000
129514559,35,1296,18698.0000
123368893,-1,4641,413714.0000
147625939,125,21,10885.0000
147626125,125,6,186.0000
147626011,125,7,160.0000
147625958,125,8,320.0000
130022441,0,3117,503271.0000
137930423,97,88,9033.0000
122354010,111,1240,141359.0000
114898919,0,4475,212131.0000
147034510,91,63,1313.0000
116068809,5,378,139382.0000
129612832,1,2420,72668.0000
114613156,14,836,325465.0000
107938374,45,201,144240.0000
147323777,125,3,1550.0000
140982767,2,2535,24723.0000
130162893,0,2377,92005.0000
92536984,37,258,15384.0000
110764459,0,5060,5035441.0000
143433750,51,11412,4056966.0000
145678840,87,243,31751672.0000
147896690,101,885,31977.0000
120551068,0,3858,111400.0000
142008887,0,10114,5493154.0000
138923458,68,3439,57885.0000
145409126,108,477,14740.0000
140680658,92,251,15162.0000
147676086,7,615,28776.0000
142282927,0,1562,624492.0000
115301932,101,226,81157.0000
138930415,54,1637,23545.0000
135978716,6,158,30734.0000
105378588,2,681,51798.0000
146135468,0,730,71152.0000
74970026,1,7432,40634.0000
86297985,2,13753,1840020000.0000
27206709,0,752,420993.0000
147501145,118,6,70.0000
147877371,118,13,1418.0000
147881770,119,14,1110.0000
147759325,10,3540,36688.0000
136463897,88,10,389.0000
55621516,11,722,3542.0000
144660315,32,450,13236.0000
147217342,108,54,14623.0000
129515050,10,10852,2387430.0000
147285024,49,123,2429.0000
113593773,0,4641,2180314.0000
138057895,23,1582,204127.0000
127669046,119,24,240.0000
142332760,54,110,3935.0000
141508229,109,91,9118.0000
142009703,2,1126,2306245.0000
137330148,3,392,8643.0000
147882572,102,278,24139.0000
147715173,79,755,984.0000
80607128,2,1767,478416.0000
147716424,123,16,1067.0000
147539471,122,47,4790.0000
147716578,88,104,6723.0000
121018818,60,2784,959987.0000
146231612,48,886,105412.0000
115301067,123,46,25672.0000
133438545,116,64,2643.0000
142873215,3,1029,3579798.0000
105211907,0,9364,162064.0000
72589644,8,1191,65961.0000
140536645,0,1469,109089.0000
125146300,123,3,32.0000
147884544,0,2104,210680.0000
21444488,0,3898,1228025.0000
146977816,119,14,620.0000
66233355,0,3233,6533638.0000
71864390,0,5528,876537.0000
103590631,0,5507,507222.0000
145315937,91,239,12471.0000
133198635,85,4952,252965.0000
147049943,91,429,40668.0000
147287842,10,2543,258469.0000
79819961,3,242,88736.0000
147447724,113,589,8961.0000
144075460,0,1730,24579.0000
135064604,38,18114,6605203.0000
146703873,20,58,2193.0000
139999588,1,4018,162377.0000
93764134,4,2850,993741.0000
36105102,61,1981,1392152.0000
147762825,108,732,39895.0000
145385478,118,64,649.0000
142609848,71,67,670.0000
147926563,118,37,3368.0000
129715996,63,15351,22348824.0000
145029092,108,324,79766.0000
147900114,75,445,66442.0000
147363397,88,11,722.0000
146381683,93,1936,41137.0000
147717579,123,14,980.0000
147717767,123,8,520.0000
144592302,73,1927,93181.0000
134674952,0,704,90284.0000
147281776,72,250,114586.0000
87080955,34,146,182438.0000
132398911,57,223,11104.0000
133152450,82,262,19033.0000
130603578,41,36,1898950.0000
146137526,99,4973,2808276.0000
144028732,9,151,5943.0000
147756501,118,253,16717418.0000
147796522,121,24,1680.0000
129409110,0,2474,749181.0000
142009780,0,1940,76348.0000
144224197,5,6105,1089212.0000
142017145,6,2423,165019.0000
113029290,12,288,1386.0000
141152663,92,165,87024.0000
143548007,0,3465,830274.0000
147797030,121,6,104.0000
147796552,121,22,421.0000
70168807,96,1833,19228.0000
136861962,49,1067,229237.0000
131081420,70,1410,465645.0000
132358009,0,1941,582350.0000
147792958,121,2,252.0000
123609794,8,640,79228.0000
143553589,121,6,60.0000
147761408,92,546,21061.0000
147797605,112,88,1831.0000
59055287,0,739,10493.0000
147723705,108,46,3135.0000
147485957,121,13,1052.0000
106404904,120,14,780.0000
147208378,121,25,425.0000
147797998,121,8,160.0000
147797911,121,4,320.0000
24697161,0,5997,2885369.0000
74949598,66,268,62565.0000
146309435,22,173,435865.0000
138859483,120,83,10797.0000
147798187,118,9,380.0000
142022638,6,15062,845139.0000
147797980,114,85,24358.0000
115016829,1,5426,641946.0000
129585566,109,599,401096.0000
135273652,40,186,76528.0000
146858250,19,96,7201.0000
133473926,35,175,58007.0000
