bet05,ip_count,bets,bets_per_ip
129729398,11,165,15.0
146427275,3,557,185.66666666666666
144188087,20,574,28.7
142124388,10,87,8.7
147670238,1,2,2.0
146905610,12,410,34.166666666666664
147671284,4,18,4.5
147312672,2,94,47.0
125943121,7,2667,381.0
147477949,1,993,993.0
118920063,7,69,9.857142857142858
145661473,8,657,82.125
145990481,19,1036,54.526315789473685
102810003,1,197,197.0
147922031,1,13,13.0
75262741,4,492,123.0
67604321,54,1515,28.055555555555557
147922789,1,8,8.0
147922870,1,12,12.0
147624458,18,539,29.944444444444443
7121578,3,3321,1107.0
117617009,26,122,4.6923076923076925
147590760,7,136,19.428571428571427
147677500,1,20,20.0
146358941,4,222,55.5
147677461,1,1,1.0
39121639,3,378,126.0
147678186,1,8,8.0
142228498,6,244,40.666666666666664
142069372,12,82,6.833333333333333
112022910,36,523,14.527777777777779
141691936,8,161,20.125
49531052,2,36,18.0
147681988,2,8,4.0
143195890,12,235,19.583333333333332
142232978,8,28,3.5
147682176,1,4,4.0
147674964,32,431,13.46875
129616462,20,448,22.4
147188722,12,1152,96.0
142005385,4,9623,2405.75
147682614,1,4,4.0
136110694,1,3,3.0
139201086,2,28,14.0
147621747,9,108,12.0
147684866,3,58,19.333333333333332
82078149,2,8,4.0
147682213,2,35,17.5
147682208,1,26,26.0
147153005,2,17,8.5
146367101,7,45,6.428571428571429
147686957,1,3,3.0
147686801,1,5,5.0
147690232,1,2,2.0
118599552,67,1932,28.83582089552239
147523408,4,133,33.25
142116275,1,7,7.0
145533883,1,4,4.0
97818228,2,75,37.5
99515976,1,17,17.0
147809082,1,4,4.0
146348812,8,1541,192.625
58178134,4,3260,815.0
147289310,2,11,5.5
122799398,2,12,6.0
86944805,79,1049,13.278481012658228
74932712,10,367,36.7
143219860,14,160,11.428571428571429
141310958,1,14,14.0
28344376,2,4,2.0
28308165,3,320,106.66666666666667
142709580,1,12,12.0
140106897,10,356,35.6
147694557,6,353,58.833333333333336
147695969,1,19,19.0
147046031,2,189,94.5
120227728,6,1635,272.5
147698670,1,9,9.0
144470759,1,9,9.0
53778234,1,49,49.0
105492429,1,24,24.0
146065635,4,71,17.75
147452869,5,78,15.6
134537909,4,182,45.5
143943274,3,37,12.333333333333334
143408028,9,11655,1295.0
146172214,1,5,5.0
147753135,1,6,6.0
147754720,1,3,3.0
94944999,91,1694,18.615384615384617
147729527,5,59,11.8
127260532,2,4,2.0
139705364,1,40,40.0
147625993,1,45,45.0
147625841,1,16,16.0
133469882,3,115,38.333333333333336
142854813,2,207,103.5
147625881,1,11,11.0
71392291,3,11,3.6666666666666665
147626808,1,1,1.0
116462921,7,41,5.857142857142857
139249849,4,376,94.0
147881817,2,13,6.5
147494349,11,82,7.454545454545454
147882218,1,4,4.0
142807041,6,29,4.833333333333333
134247458,13,394,30.307692307692307
123091453,7,55,7.857142857142857
147850926,3,30,10.0
106742477,6,102,17.0
147780754,11,371,33.72727272727273
145703959,1,527,527.0
136238834,2,17,8.5
147885892,1,13,13.0
128556041,3,51,17.0
147886490,1,4,4.0
147886728,1,7,7.0
147886773,2,129,64.5
129841748,1,30,30.0
144438727,30,135,4.5
132905362,1,89,89.0
144285318,1,26,26.0
147767645,1,8,8.0
144921740,1,1,1.0
135547074,8,270,33.75
147767759,1,2,2.0
147768045,1,4,4.0
146426849,8,41,5.125
147771327,1,93,93.0
147771610,1,2,2.0
63078452,4,3806,951.5
123500498,37,156,4.216216216216216
147772071,5,24,4.8
147772099,1,1,1.0
147770673,1,38,38.0
131665551,1,18,18.0
147612553,11,180,16.363636363636363
54547780,5,213,42.6
147775701,3,74,24.666666666666668
147604574,4,58,14.5
130085822,3,51,17.0
137050015,6,204,34.0
147734084,10,134,13.4
146816221,2,50,25.0
147776683,1,8,8.0
147566030,36,340,9.444444444444445
147776865,1,8,8.0
147630186,8,88,11.0
147099816,5,264,52.8
147629101,1,31,31.0
144162249,8,278,34.75
147629254,1,33,33.0
147629429,1,2,2.0
147022126,2,48,24.0
147629801,3,6,2.0
147629389,1,20,20.0
108102309,4,70,17.5
147582353,1,67,67.0
67865996,6,310,51.666666666666664
147304669,2,395,197.5
147632910,1,2,2.0
147632978,1,6,6.0
147607655,6,227,37.833333333333336
109834389,2,35,17.5
142176932,17,455,26.764705882352942
147637360,1,4,4.0
147637625,1,8,8.0
92966474,3,133,44.333333333333336
121959531,1,12,12.0
133316661,1,15,15.0
147549633,1,18,18.0
147641139,1,4,4.0
147641118,1,8,8.0
136955854,35,1746,49.885714285714286
128020632,7,39,5.571428571428571
132216083,3,20,6.666666666666667
142015166,16,130,8.125
119888896,18,84,4.666666666666667
117141743,3,220,73.33333333333333
147642080,1,6,6.0
146604009,2,121,60.5
132735851,1,115,115.0
146836475,1,8,8.0
146511422,2,17,8.5
107583422,2,34,17.0
143163593,6,169,28.166666666666668
136418964,1,23,23.0
147625599,1,9,9.0
147605168,2,17,8.5
145477427,1,13,13.0
147485644,9,293,32.55555555555556
129540281,2,263,131.5
135283150,1,7,7.0
146990699,3,723,241.0
146258170,7,447,63.857142857142854
147651013,1,2,2.0
147648874,1,124,124.0
147651019,1,8,8.0
104412771,5,43,8.6
146693635,19,574,30.210526315789473
135764006,1,5,5.0
146918696,3,96,32.0
147494338,5,1041,208.2
147753782,1,6,6.0
118027913,1,60,60.0
147669358,2,14,7.0
147757574,1,4,4.0
142888492,2,28,14.0
130189619,1,18,18.0
147728378,3,52,17.333333333333332
147456239,5,67,13.4
147253834,6,52,8.666666666666666
130475046,2,114,57.0
147760489,2,44,22.0
144838989,10,173,17.3
133852015,4,13,3.25
136296804,7,194,27.714285714285715
147895099,4,20,5.0
88634683,4,112,28.0
147979416,7,46,6.571428571428571
52461524,2,38,19.0
142804744,4,24,6.0
148001746,2,134,67.0
147822974,2,23,11.5
146254935,3,880,293.3333333333333
131512171,11,81,7.363636363636363
148009420,1,8,8.0
147468021,1,12,12.0
148009534,1,44,44.0
133512629,7,1444,206.28571428571428
100406356,3,26,8.666666666666666
148009635,1,42,42.0
131349457,8,69,8.625
105432834,6,142,23.666666666666668
148009434,2,58,29.0
148011459,1,16,16.0
148011812,1,4,4.0
90357573,20,362,18.1
147912365,3,242,80.66666666666667
148011781,1,8,8.0
110035037,1,20,20.0
148012653,1,10,10.0
147986205,5,365,73.0
148014188,1,67,67.0
142023459,8,533,66.625
148014173,1,18,18.0
148014653,1,34,34.0
148014376,1,16,16.0
147985432,2,45,22.5
127431226,8,35,4.375
145334462,12,416,34.666666666666664
146802391,1,13,13.0
147575201,2,2,1.0
137427211,1,86,86.0
128349160,4,1421,355.25
148236642,1,33,33.0
144648998,4,471,117.75
127634872,1,20,20.0
147721575,1,1,1.0
148238820,1,6,6.0
148238893,1,8,8.0
140373426,1,10,10.0
148239380,1,8,8.0
148239532,1,25,25.0
148039803,9,1102,122.44444444444444
91611482,1,16,16.0
148201258,2,6,3.0
148201313,1,8,8.0
124399112,6,18,3.0
148191648,2,5,2.5
92457040,1,79,79.0
132222635,9,770,85.55555555555556
143909401,1,5,5.0
148029916,2,5,2.5
148028782,3,51,17.0
148028509,1,44,44.0
148030402,1,2,2.0
98061607,2,33,16.5
148243414,1,228,228.0
140699381,6,116,19.333333333333332
148244216,1,120,120.0
148244209,1,18,18.0
148132705,1,3,3.0
147692882,5,102,20.4
99158327,1,6,6.0
117197761,5,41,8.2
147730440,1,7,7.0
23088401,2,6,3.0
102818168,2,8,4.0
147794178,4,138,34.5
147834202,1,5,5.0
143678548,1,16,16.0
144085854,2,21,10.5
147838843,1,8,8.0
147838584,1,4,4.0
147839235,1,8,8.0
140195304,3,35,11.666666666666666
104260367,3,69,23.0
147839424,1,4,4.0
147842649,1,4,4.0
147842633,1,8,8.0
147842785,1,2,2.0
147843229,1,3,3.0
147843201,2,16,8.0
147811738,5,41,8.2
54149067,10,267,26.7
147842927,1,1,1.0
147843572,1,7,7.0
146161288,1,38,38.0
142283130,3,11,3.6666666666666665
124295364,3,12,4.0
147642032,1,4,4.0
147642035,1,31,31.0
147259552,1,1,1.0
147471517,1,2,2.0
126006835,4,247,61.75
107427199,4,30,7.5
145341117,1,2,2.0
147655560,1,1,1.0
147655719,1,8,8.0
147126021,2,63,31.5
92781679,4,17,4.25
130346477,1,4,4.0
133451833,26,2057,79.11538461538461
147660001,1,5,5.0
88082524,3,36,12.0
147660132,1,8,8.0
147613434,5,60,12.0
146038628,1,1,1.0
146009189,4,51,12.75
147660789,1,16,16.0
147665570,1,6,6.0
147665603,1,16,16.0
86257987,5,143,28.6
95180245,1,1,1.0
142468442,19,314,16.526315789473685
145967721,7,40,5.714285714285714
147666293,3,22,7.333333333333333
106738078,12,209,17.416666666666668
71056134,1,62,62.0
147666555,1,16,16.0
147959574,1,4,4.0
80420722,1,4,4.0
147675130,8,3862,482.75
147960485,6,25,4.166666666666667
147960286,2,8,4.0
147960379,3,22,7.333333333333333
147961043,1,3,3.0
147832852,1,1,1.0
139509362,2,7,3.5
147829957,3,32,10.666666666666666
147181879,1,17,17.0
123306313,7,12,1.7142857142857142
147966992,5,20,4.0
147967148,1,7,7.0
139079104,3,136,45.333333333333336
137000033,5,25,5.0
147134966,5,23,4.6
101313751,12,127,10.583333333333334
140011760,5,42,8.4
114503218,1,40,40.0
130643034,9,55,6.111111111111111
147575217,2,80,40.0
113031610,4,83,20.75
76651403,1,1,1.0
147724236,1,4,4.0
147724451,1,2,2.0
143521250,1,73,73.0
143717863,2,194,97.0
142008751,10,37,3.7
141446342,2,10,5.0
147724837,1,4,4.0
143648198,4,38,9.5
140433612,2,280,140.0
66631696,1,3,3.0
144593256,6,7,1.1666666666666667
51882479,1,60,60.0
147731893,1,8,8.0
33887639,5,157,31.4
139405754,19,828,43.578947368421055
143669370,5,169,33.8
127165368,1,25,25.0
91388850,6,53,8.833333333333334
147732313,1,3,3.0
147732316,1,2,2.0
147739352,1,34,34.0
130777907,1,151,151.0
139983234,4,127,31.75
106484248,5,40,8.0
147740433,1,8,8.0
4591646,5,112,22.4
147746713,1,47,47.0
147747270,1,9,9.0
142987424,3,5,1.6666666666666667
137852260,22,424,19.272727272727273
147677417,2,11,5.5
143014072,2,21,10.5
147543562,2,23,11.5
147070061,4,11,2.75
147943619,1,23,23.0
130393827,3,22,7.333333333333333
147944263,1,5,5.0
147944316,1,49,49.0
120844054,1,18,18.0
148097721,1,71,71.0
147022718,1,21,21.0
148098239,1,10,10.0
148082719,2,12,6.0
148098467,1,16,16.0
147202399,11,98,8.909090909090908
148098567,1,4,4.0
148098450,1,16,16.0
148214738,1,38,38.0
148212838,6,104,17.333333333333332
148165415,2,16,8.0
148208401,1,44,44.0
148017351,16,243,15.1875
147726074,2,67,33.5
85134913,2,9,4.5
145948153,6,86,14.333333333333334
144342401,1,4,4.0
146446479,1,47,47.0
147301136,18,118,6.555555555555555
147821716,1,24,24.0
146269371,2,416,208.0
124777372,5,17,3.4
145647908,13,65,5.0
147824527,1,36,36.0
147825048,1,3,3.0
130576273,12,72,6.0
147824531,2,36,18.0
137132612,1,13,13.0
147655447,5,13,2.6
147826003,1,5,5.0
147952084,1,18,18.0
146958676,52,293,5.634615384615385
119264950,20,36,1.8
147566595,4,17,4.25
117042790,4,328,82.0
124487283,13,116,8.923076923076923
148052248,1,5,5.0
110742860,1,9,9.0
125007331,1,7,7.0
148052380,1,2,2.0
148052455,1,8,8.0
125517164,1,4,4.0
94751415,3,176,58.666666666666664
147814996,1,40,40.0
145562384,1,24,24.0
127900390,1,1,1.0
146270261,6,74,12.333333333333334
145874515,1,97,97.0
147819950,1,28,28.0
147820172,1,6,6.0
146374292,3,26,8.666666666666666
118700758,4,10,2.5
140057996,2,37,18.5
147637835,11,213,19.363636363636363
147963248,1,4,4.0
110269772,3,16,5.333333333333333
135329366,2,24,12.0
147963479,1,17,17.0
147964077,1,6,6.0
147964012,1,8,8.0
147963304,1,28,28.0
100775385,2,76,38.0
147933647,5,45,9.0
147968751,4,268,67.0
147968508,1,8,8.0
147968827,1,4,4.0
148279958,1,4,4.0
148280161,2,8,4.0
147275063,5,65,13.0
148285080,1,10,10.0
141524248,5,259,51.8
148285045,5,56,11.2
147765727,16,480,30.0
112749959,12,70,5.833333333333333
134633492,3,72,24.0
128988283,2,105,52.5
130430788,3,114,38.0
147791431,1,1,1.0
147764665,2,11,5.5
147904994,2,76,38.0
135224178,2,23,11.5
147905351,3,3,1.0
122218408,9,54,6.0
147865882,2,3,1.5
147906591,2,16,8.0
147681561,5,68,13.6
147911887,1,5,5.0
141504163,1,7,7.0
147481562,8,64,8.0
147895108,2,22,11.0
123176361,42,152,3.619047619047619
6144095,3,15,5.0
22540645,2,87,43.5
148086916,3,56,18.666666666666668
141457855,5,18,3.6
145067654,2,11,5.5
148151821,1,8,8.0
148149561,1,107,107.0
143178944,3,101,33.666666666666664
148152272,1,4,4.0
148152441,1,8,8.0
148152505,1,18,18.0
146219982,3,8,2.6666666666666665
148119808,2,136,68.0
148155638,1,4,4.0
147904425,1,147,147.0
148156169,1,4,4.0
148156305,1,4,4.0
144685013,1,7,7.0
147039434,3,22,7.333333333333333
147978831,2,56,28.0
139536100,2,56,28.0
147979322,1,32,32.0
147981524,19,1809,95.21052631578948
147981578,5,47,9.4
147977614,1,81,81.0
147981678,1,2,2.0
98433378,2,17,8.5
144619721,2,8,4.0
147979072,1,12,12.0
127569819,1,6,6.0
148166594,1,3,3.0
131401429,7,149,21.285714285714285
120956285,13,269,20.692307692307693
147810422,46,401,8.717391304347826
148167107,9,176,19.555555555555557
148166922,1,5,5.0
148163759,2,30,15.0
117596007,2,17,8.5
147152941,19,573,30.157894736842106
148172550,1,8,8.0
148172599,3,30,10.0
148172205,1,20,20.0
148116009,1,2,2.0
148172912,1,1,1.0
148172842,1,7,7.0
148173023,1,1,1.0
148058719,1,9,9.0
126636249,5,22,4.4
118936602,1,58,58.0
77405266,2,36,18.0
137254774,1,7,7.0
142784822,1,7,7.0
119214172,1,1,1.0
60385231,1,9,9.0
147673515,1,2,2.0
147673207,1,17,17.0
135442772,2,181,90.5
147930682,1,8,8.0
147930773,1,4,4.0
147930920,1,8,8.0
147931042,1,8,8.0
140007659,2,50,25.0
137391097,1,240,240.0
148143909,1,4,4.0
133438958,3,21,7.0
148144066,1,8,8.0
148144076,1,16,16.0
148144225,1,8,8.0
148144231,1,8,8.0
123146632,1,3,3.0
141900111,1,8,8.0
142209612,5,37,7.4
148180968,2,133,66.5
136048793,2,257,128.5
147539447,1,5,5.0
99434960,10,88,8.8
143171605,2,84,42.0
147988642,1,57,57.0
136975410,22,95,4.318181818181818
121285879,5,19,3.8
144234784,17,338,19.88235294117647
148183894,4,46,11.5
148184020,1,22,22.0
148184109,1,9,9.0
148184181,1,15,15.0
148184792,1,8,8.0
147992848,1,24,24.0
145272494,11,41,3.727272727272727
142156628,3,16,5.333333333333333
7883334,16,333,20.8125
133582953,2,34,17.0
146101571,1,4,4.0
131690703,5,39,7.8
145022448,4,301,75.25
143853780,2,11,5.5
147447574,11,28,2.5454545454545454
148186310,7,511,73.0
148255146,2,31,15.5
148255384,1,30,30.0
146023021,3,256,85.33333333333333
147053675,4,166,41.5
148256328,1,4,4.0
144621091,1,65,65.0
135644989,1,15,15.0
148248823,2,141,70.5
148092299,1,160,160.0
148257391,2,21,10.5
148257547,2,14,7.0
147961104,3,216,72.0
129641054,1,85,85.0
148257903,1,15,15.0
148118760,1,24,24.0
148114527,2,72,36.0
75197321,36,1460,40.55555555555556
147946684,1,2,2.0
147712279,2,41,20.5
147945444,1,9,9.0
147947105,3,12,4.0
144891787,2,10,5.0
90687253,3,807,269.0
147987587,4,181,45.25
142821380,1,3,3.0
148122340,1,31,31.0
148123835,1,8,8.0
148123233,1,37,37.0
148124451,1,3,3.0
147782607,1,5,5.0
145366045,25,102,4.08
60350335,3,3,1.0
142228429,6,66,11.0
92591303,1,16,16.0
138915306,3,4,1.3333333333333333
147787778,1,8,8.0
136845900,3,457,152.33333333333334
147788499,1,8,8.0
145025097,2,37,18.5
147788517,1,11,11.0
147791839,1,2,2.0
147750849,2,53,26.5
147751818,1,16,16.0
147646513,2,78,39.0
145282602,3,66,22.0
121665953,8,46,5.75
147745079,5,108,21.6
147752585,1,10,10.0
147752795,1,6,6.0
147752868,1,8,8.0
134509177,3,94,31.333333333333332
116393773,2,8,4.0
146850768,9,351,39.0
148122775,2,32,16.0
121627862,6,236,39.333333333333336
148122953,2,19,9.5
148122649,2,7,3.5
148123226,1,4,4.0
148123632,1,4,4.0
148036389,1,20,20.0
147877672,2,15,7.5
148032144,1,13,13.0
137864583,4,45,11.25
148063474,1,27,27.0
148128902,2,4,2.0
130932887,9,105,11.666666666666666
148128199,1,20,20.0
127793657,6,109,18.166666666666668
148129201,1,2,2.0
147838146,1,4,4.0
148053912,1,1,1.0
148046428,1,46,46.0
148053997,1,4,4.0
146740156,2,2,1.0
139666928,7,42,6.0
73750193,4,73,18.25
113874758,3,20,6.666666666666667
147967659,1,4,4.0
127466737,3,77,25.666666666666668
148054955,1,1,1.0
148054956,1,8,8.0
148187040,5,148,29.6
111319384,60,1006,16.766666666666666
148189243,1,8,8.0
143177097,18,85,4.722222222222222
147981595,1,4,4.0
147985580,1,15,15.0
147985910,1,3,3.0
145782505,6,12,2.0
147882853,9,72,8.0
140175649,4,99,24.75
147989060,1,109,109.0
137270559,11,203,18.454545454545453
148299303,1,53,53.0
148299553,1,4,4.0
148299560,1,4,4.0
148299290,1,15,15.0
148299487,1,35,35.0
148300159,1,6,6.0
147623625,6,514,85.66666666666667
147997460,10,67,6.7
145059253,6,269,44.833333333333336
147972830,2,816,408.0
147999873,5,171,34.2
148309811,1,7,7.0
146426187,1,4,4.0
148310183,1,8,8.0
148310265,1,8,8.0
143237804,43,489,11.372093023255815
148222614,1,15,15.0
148222936,1,13,13.0
146875187,4,301,75.25
148223288,1,1,1.0
147746096,4,7,1.75
139125411,38,1970,51.8421052631579
147748790,1,8,8.0
147359547,4,135,33.75
134426489,1,7,7.0
148153453,1,8,8.0
105496164,7,156,22.285714285714285
139446247,1,18,18.0
148245818,2,78,39.0
62199929,8,162,20.25
148190551,1,11,11.0
148199884,7,42,6.0
148257866,1,6,6.0
148209937,1,61,61.0
148261803,1,2,2.0
147179287,2,20,10.0
148168838,1,6,6.0
118652603,6,19,3.1666666666666665
148169396,1,6,6.0
145381959,1,586,586.0
148171067,1,1,1.0
38308535,12,64,5.333333333333333
124216244,14,118,8.428571428571429
143205343,1,10,10.0
148176491,1,4,4.0
121416406,1,2,2.0
124901580,2,66,33.0
145294322,2,11,5.5
148176796,1,4,4.0
148183715,1,23,23.0
141687262,2,130,65.0
99510370,2,31,15.5
147697753,1,9,9.0
128972514,8,47,5.875
147697974,1,5,5.0
126552599,1,6,6.0
133835515,6,46,7.666666666666667
145988549,1,3,3.0
148037368,2,26,13.0
147924935,3,59,19.666666666666668
148128012,1,2,2.0
105552321,40,255,6.375
137577284,43,469,10.906976744186046
148128996,1,15,15.0
148130551,1,4,4.0
148130561,1,5,5.0
122290072,2,10,5.0
62850946,1,10,10.0
147705144,1,5,5.0
146940461,2,32,16.0
147516448,1,1,1.0
143128599,10,29,2.9
145772899,17,233,13.705882352941176
147705896,1,8,8.0
148135786,2,53,26.5
148102216,1,56,56.0
148055467,4,34,8.5
147392330,2,15,7.5
148004435,3,77,25.666666666666668
148058424,1,7,7.0
133884935,37,2083,56.2972972972973
147998987,1,3,3.0
148062494,1,4,4.0
125725784,4,32,8.0
144458214,1,22,22.0
116408572,10,216,21.6
116376477,1,1,1.0
125878718,2,89,44.5
148063631,2,288,144.0
114813867,2,14,7.0
131528014,8,128,16.0
147842842,1,4,4.0
131269806,1,16,16.0
136304218,10,28,2.8
147841829,1,5,5.0
148069060,3,16,5.333333333333333
145263121,2,40,20.0
147577263,8,126,15.75
36992315,1,29,29.0
145578255,1,7,7.0
148115018,1,9,9.0
135122832,2,75,37.5
148551635,1,3,3.0
148551845,2,8,4.0
144519161,10,38,3.8
148191641,2,32,16.0
81319646,2,31,15.5
114248097,3,53,17.666666666666668
148192864,1,3,3.0
148193022,1,2,2.0
148171253,2,16,8.0
147791525,2,18,9.0
148179296,1,52,52.0
148193447,2,2,1.0
136323437,9,169,18.77777777777778
123541876,36,246,6.833333333333333
147889840,1,4,4.0
125921587,1,20,20.0
147890168,1,14,14.0
108127966,3,50,16.666666666666668
128273350,2,8,4.0
148079594,1,110,110.0
139442653,2,24,12.0
148079377,1,11,11.0
133952899,2,12,6.0
148080130,1,18,18.0
148079376,1,23,23.0
136733630,3,87,29.0
145055629,1,34,34.0
136034959,3,45,15.0
127898830,18,59,3.2777777777777777
133814050,2,13,6.5
144600686,2,2,1.0
147625247,1,9,9.0
148061013,1,8,8.0
98828031,3,63,21.0
134397734,7,48,6.857142857142857
101057861,3,22,7.333333333333333
148559618,1,2,2.0
135563743,3,29,9.666666666666666
148559663,1,8,8.0
148559664,1,8,8.0
148560799,1,2,2.0
148561166,2,8,4.0
148561190,1,8,8.0
148561245,1,4,4.0
137143724,1,1,1.0
124335280,1,5,5.0
148400886,1,3,3.0
104003418,2,3,1.5
148200010,2,4,2.0
148200080,1,8,8.0
127507518,5,17,3.4
94120054,2,13,6.5
148111438,2,71,35.5
148249060,2,5,2.5
148320964,1,3,3.0
146784702,1,33,33.0
122560457,2,14,7.0
113939264,37,240,6.486486486486487
147842106,3,126,42.0
146279541,1,1,1.0
147852688,1,8,8.0
135291839,1,5,5.0
106320516,3,3,1.0
140303107,2,53,26.5
111119521,5,13,2.6
148454755,1,8,8.0
148455700,1,8,8.0
145375453,12,38,3.1666666666666665
147849610,2,8,4.0
109269041,4,59,14.75
148064747,2,9,4.5
148065521,1,21,21.0
148065781,1,3,3.0
148066093,1,8,8.0
148066199,1,2,2.0
148451617,1,4,4.0
148451907,1,2,2.0
134611546,7,113,16.142857142857142
143666132,11,132,12.0
119559572,1,12,12.0
121090852,6,70,11.666666666666666
133812878,2,5,2.5
144872824,11,34,3.090909090909091
146860629,60,645,10.75
147713123,2,2,1.0
147543244,2,12,6.0
147627006,1,4,4.0
116844034,2,35,17.5
147763638,1,4,4.0
147763737,1,4,4.0
136827785,2,47,23.5
147764015,1,19,19.0
139889115,12,504,42.0
143293754,19,179,9.421052631578947
147764728,1,4,4.0
6053742,4,109,27.25
146790130,3,18,6.0
147740098,3,40,13.333333333333334
122656040,1,3,3.0
147600556,1,160,160.0
142422470,1,10,10.0
128766312,6,124,20.666666666666668
118577740,2,8,4.0
147712243,1,12,12.0
