source_db,source_table,table_type,table_comment,create_time,update_time
ods_mariadb_2b,ods_a168_RedPacketSetup,BASE TABLE,,2026-05-18 11:21:18,2026-05-19 11:04:42
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 20:05:03
ods_mariadb_2b,ods_a168_RedPacket_No,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_RedPacket_Order,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_SMR_log,BASE TABLE,,2026-05-18 11:21:16,2026-07-26 23:15:30
ods_mariadb_2b,ods_a168_age_login,BASE TABLE,,2026-05-18 11:21:16,2026-07-24 23:05:35
ods_mariadb_2b,ods_a168_age_sub_login,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:06:55
ods_mariadb_2b,ods_a168_agent,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:04:45
ods_mariadb_2b,ods_a168_agent_bak20250610,BASE TABLE,,2026-05-18 11:21:16,2026-05-19 10:38:18
ods_mariadb_2b,ods_a168_agent_dtl,BASE TABLE,,2026-05-18 11:21:15,2026-07-27 21:00:07
ods_mariadb_2b,ods_a168_agent_dtl_test,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:07:30
ods_mariadb_2b,ods_a168_agent_elec,BASE TABLE,,2026-05-18 11:21:17,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_agent_partner_gamelist,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:08:06
ods_mariadb_2b,ods_a168_agent_permissionrole,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 23:14:30
ods_mariadb_2b,ods_a168_agent_sub,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:06:18
ods_mariadb_2b,ods_a168_agent_test,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 23:14:44
ods_mariadb_2b,ods_a168_agents_LoginPass,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:05:42
ods_mariadb_2b,ods_a168_aggregate_setting,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:08:43
ods_mariadb_2b,ods_a168_aggregate_token,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 10:41:09
ods_mariadb_2b,ods_a168_aggregate_transaction,BASE TABLE,,2026-05-18 11:21:17,2026-06-23 23:24:33
ods_mariadb_2b,ods_a168_aisetting,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:31:09
ods_mariadb_2b,ods_a168_alarmMessage,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 09:00:41
ods_mariadb_2b,ods_a168_alertMessage,BASE TABLE,,2026-05-18 11:21:16,2026-06-13 23:13:13
ods_mariadb_2b,ods_a168_alert_ip_setting,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:18:18
ods_mariadb_2b,ods_a168_apiurl,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:14:25
ods_mariadb_2b,ods_a168_ban_bet_area,BASE TABLE,,2026-05-18 11:21:16,2026-07-28 00:03:53
ods_mariadb_2b,ods_a168_bet,BASE TABLE,,2026-05-18 11:21:17,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_bet01,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:52:19
ods_mariadb_2b,ods_a168_bet02,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:53:27
ods_mariadb_2b,ods_a168_bet_No,BASE TABLE,,2026-05-18 11:21:15,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_bet_limit_default,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 20:02:00
ods_mariadb_2b,ods_a168_bet_partner,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 06:02:19
ods_mariadb_2b,ods_a168_betchange_log,BASE TABLE,,2026-05-18 11:21:16,2026-07-23 23:01:58
ods_mariadb_2b,ods_a168_category,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_categoryLevel,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_change_log,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:02:55
ods_mariadb_2b,ods_a168_close_tip_list,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 20:01:22
ods_mariadb_2b,ods_a168_control,BASE TABLE,,2026-05-18 11:21:16,2026-06-05 23:09:36
ods_mariadb_2b,ods_a168_control_login,BASE TABLE,,2026-05-18 11:21:16,2026-05-21 05:37:36
ods_mariadb_2b,ods_a168_conversion,BASE TABLE,,2026-05-18 11:21:16,2026-05-19 23:09:39
ods_mariadb_2b,ods_a168_ctl_rto,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:32:22
ods_mariadb_2b,ods_a168_currency,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 23:14:17
ods_mariadb_2b,ods_a168_dailyreport,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_dailyreport2,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_dailyreport_member,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:59:20
ods_mariadb_2b,ods_a168_dailyreport_table,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:00:07
ods_mariadb_2b,ods_a168_dailyreport_usercount,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:57:08
ods_mariadb_2b,ods_a168_emp_login,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 10:41:02
ods_mariadb_2b,ods_a168_employee,BASE TABLE,,2026-05-18 11:21:16,2026-07-04 23:07:14
ods_mariadb_2b,ods_a168_func_counter,BASE TABLE,,2026-05-18 11:21:16,2026-05-19 10:40:55
ods_mariadb_2b,ods_a168_game_No,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:03:32
ods_mariadb_2b,ods_a168_game_callwebapi,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:08:09
ods_mariadb_2b,ods_a168_game_demoipsetting,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:18:54
ods_mariadb_2b,ods_a168_game_info,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:57:54
ods_mariadb_2b,ods_a168_game_info_verify,BASE TABLE,,2026-05-18 11:21:16,2026-06-23 23:19:30
ods_mariadb_2b,ods_a168_game_log,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:56:41
ods_mariadb_2b,ods_a168_game_parame,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:44:37
ods_mariadb_2b,ods_a168_game_result,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_game_statistics,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 09:00:15
ods_mariadb_2b,ods_a168_game_tip,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:09:19
ods_mariadb_2b,ods_a168_game_transfer,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 20:04:27
ods_mariadb_2b,ods_a168_game_type,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:22:47
ods_mariadb_2b,ods_a168_in_out_m,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:54:24
ods_mariadb_2b,ods_a168_in_out_m_chip,BASE TABLE,,2026-05-18 11:21:16,2026-05-19 10:22:07
ods_mariadb_2b,ods_a168_ipblacklist,BASE TABLE,,2026-05-18 11:21:16,2026-05-19 23:13:11
ods_mariadb_2b,ods_a168_iphistory,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:02:18
ods_mariadb_2b,ods_a168_jackpot,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 10:57:14
ods_mariadb_2b,ods_a168_keyserver_command,BASE TABLE,,2026-05-18 11:21:17,2026-06-01 23:15:00
ods_mariadb_2b,ods_a168_log_age_cash_change,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:51:12
ods_mariadb_2b,ods_a168_log_mem_change,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:00:44
ods_mariadb_2b,ods_a168_log_realtimebet,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 22:00:20
ods_mariadb_2b,ods_a168_mem_login,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:55:18
ods_mariadb_2b,ods_a168_member,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:54:51
ods_mariadb_2b,ods_a168_member_category,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_member_click_counter,BASE TABLE,,2026-05-18 11:21:16,2026-05-20 22:09:36
ods_mariadb_2b,ods_a168_member_dtl,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:50:36
ods_mariadb_2b,ods_a168_member_explosion_setting,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:06:17
