字段,表名,含义
account,ods_a168_employee,source_type=varchar(20); 
account,ods_a168_member_url,source_type=varchar(48); 會員帳號
account,ods_a168_passiplist,source_type=varchar(30); 
action,ods_a168_aggregate_transaction,"source_type=enum(''PointInout'',''TimeoutBetReturn''); 動作"
action,ods_a168_game_info_verify,source_type=varchar(12); 
action,ods_a168_partner_transation,"source_type=enum(''bet'',''settle'',''cancel'',''rollback'',''betSuccess'',''refund'',''rewardDeduct'',''bouns'',''free'',''tip''); 動作"
age013,ods_a168_agent,source_type=text; 
age013,ods_a168_agent_bak20250610,source_type=text; 
age013,ods_a168_agent_test,source_type=char(15); 
agent_id,ods_a168_RedPacketSetup,source_type=int(11); 代理id
agent_id,ods_a168_agent_partner_gamelist,source_type=int(11); 代理 id
agent_id,ods_a168_aggregate_setting,source_type=int(11); 代理 id
agent_id,ods_a168_partner_setting,source_type=int(11); 代理 id
agent_id,ods_a168_partner_transation,source_type=int(11); 代理 id
aid,ods_a168_agents_LoginPass,source_type=int(5); agent_id
aid,ods_a168_category,source_type=int(11); 代理編號
aid,ods_a168_opengame_log,source_type=int(11); 
aid,ods_a168_white_list,source_type=varchar(30); 
balance,ods_a168_aggregate_transaction,"source_type=decimal(16,4); 對方餘額"
balance,ods_a168_partner_transation,"source_type=decimal(16,4); 交易前餘額"
bet01,ods_a168_bet01,source_type=bigint(20); 注單編號
bet01,ods_a168_bet02,source_type=bigint(20); 注單編號
bet01,ods_a168_bet_No,source_type=bigint(20); 
bet01,ods_a168_bet_partner,source_type=bigint(11); 注單編號
bet01,ods_a168_orderslist,source_type=bigint(20); 注單編號
bet01,ods_a168_risklist,source_type=bigint(20); 注單編號
bet02,ods_a168_SMR_log,source_type=int(11); 
bet02,ods_a168_bet01,source_type=int(11); 遊戲類別編號
bet02,ods_a168_bet02,source_type=int(11); 遊戲類別編號
bet02,ods_a168_dailyreport,source_type=int(11); 遊戲編號
bet02,ods_a168_dailyreport2,source_type=int(11); 遊戲編號
bet02,ods_a168_dailyreport_member,source_type=int(11); 遊戲編號
bet02,ods_a168_dailyreport_table,source_type=int(11); 遊戲編號
bet02,ods_a168_dailyreport_usercount,source_type=int(11); 遊戲編號
bet02,ods_a168_wallet_reporter,source_type=int(11); 遊戲類別
bet02,ods_a168_wallet_reporter_copy,source_type=int(11); 遊戲類別
bet03,ods_a168_SMR_log,"source_type=decimal(12,0); "
bet03,ods_a168_bet01,"source_type=decimal(12,0); 場次編號"
bet03,ods_a168_bet02,"source_type=decimal(12,0); 場次編號"
bet03,ods_a168_wallet_reporter,source_type=int(11); 期數
bet03,ods_a168_wallet_reporter_copy,source_type=int(11); 期數
bet04,ods_a168_SMR_log,source_type=int(11); 
bet04,ods_a168_bet01,source_type=int(11); 子場次編號
bet04,ods_a168_bet02,source_type=int(11); 子場次編號
bet04,ods_a168_wallet_reporter,source_type=int(11); 局號
bet04,ods_a168_wallet_reporter_copy,source_type=int(11); 局號
bet14,ods_a168_bet01,"source_type=decimal(16,4); 退水％數"
bet14,ods_a168_bet02,"source_type=decimal(16,4); 派彩"
bet14,ods_a168_dailyreport,"source_type=decimal(16,4); 派彩金額"
bet14,ods_a168_dailyreport2,"source_type=decimal(16,4); 派彩金額"
bet14,ods_a168_dailyreport_member,"source_type=decimal(16,4); 派彩金額"
bet14,ods_a168_dailyreport_table,"source_type=decimal(16,4); 派彩金額"
bet15,ods_a168_bet01,source_type=int(11); LV1ID
bet15,ods_a168_bet02,"source_type=decimal(16,4); 退水％數"
bet15,ods_a168_dailyreport,"source_type=decimal(16,4); 會員退水%數"
bet15,ods_a168_dailyreport2,"source_type=decimal(16,4); 會員退水%數"
bet15,ods_a168_dailyreport_member,"source_type=decimal(16,4); 會員退水%數"
bet16,ods_a168_bet01,source_type=int(11); LV2ID
