周,下注笔数,独立会员数,独立荷官数,独立桌台数,总下注金额,总派彩金额,总GGR,平均GGR占比
2026-W13,6623021,95177,184,31,41711644696.7,41509672457.22,201972240.882,0.105099872994086
2026-W14,7177428,101354,180,30,40886353026.1,39795912822.404,1090440190.47,0.106870869430772
2026-W15,7014383,110533,189,30,32971825860.1,31661477065.108,1310348781.602,0.106571254495006
2026-W16,6391699,96687,179,30,29619534857.2,29460439307.725,159095545.224,0.107698228329131
2026-W17,6194060,99070,185,30,22527708802.8,22293361047.169,234347793.246,0.107748486727626
2026-W18,6484625,98886,182,30,33896842868.8,33576142103.163,320700776.519,0.109317226185342
2026-W19,6653878,107824,180,30,43363452771.1,42830482049.162,532970707.48,0.109489527600051
2026-W20,6033458,101467,170,30,48265303146.9,47394452769.209,870850395.581,0.10663459009883
2026-W21,6411552,96059,167,30,49614878790.1,47174553668.651,2440325144.289,0.102476885270782
2026-W22,5431542,91285,176,30,56137894698.3,56542843679.296,-404949115.659,0.104121347317929
2026-W23,5599937,96473,189,30,52655209007,52565339467.097,89869514.431,0.100760588754957
2026-W24,5718613,102679,187,30,57414257482.6,55665025568.426,1749231946.459,0.103676467593961
2026-W25,5978921,104905,197,30,31049477704.7,29515657582.305,1533820102.618,0.105203169741022
2026-W26,5497585,95770,192,30,20958529227.6,20691450524.198,267078705.577,0.106093092631795
2026-W27,6118394,141269,200,30,27532020337.2,26725786988,806233378.677,0.102595607730611
2026-W28,6229547,94954,189,30,29598966743.93,28849220211.038,749746520.675,0.104978646250632
2026-W29,6411851,94646,184,30,39433126759.2,37930526861.724,1502599901.094,0.10653417827394
2026-W30,5894848,85315,198,30,26270324696.2588,25523457861.8518,746866829.041,0.106300423365198
2026-W31,5598284,79333,172,30,22063373596.6162,21254903963.7237,808469612.6505,0.104823226678049
2026-W12,1063904,26418,136,18,3243537660.5,3292684684.63,-49147027.813,0.0994070204451245
