日,下注笔数,独立会员数,独立荷官数,独立桌台数,总下注金额,总派彩金额,总GGR,平均GGR占比
2026-03-23,888534,23857,122,30,10016861028,9953799014.798,63062014.1,0.100151000339359
2026-03-24,973441,24852,122,30,6437239197.5,5987794686.989,449444510.98,0.103474753891692
2026-03-26,982457,24711,122,31,4871990977.2,4824551751.039,47439225.6,0.0981759892238714
2026-03-27,980959,25264,129,30,7295841021,7556419289.021,-260578274.525,0.107914760106145
2026-03-28,932474,24852,120,30,3508398189.5,3494435008.015,13963187.184,0.111360013795754
2026-03-29,882924,21828,120,30,4140758169,4210967322.053,-70209153.399,0.106994991754535
2026-03-31,1030535,25998,128,30,5256526941,5276831756.372,-20304822.586,0.106272322134684
2026-04-01,1124170,30709,119,30,5255057495,5062683281.303,192374204.881,0.112012775015038
2026-04-02,1070159,26998,123,30,6626186634.1,6417852704.681,208333948.98,0.10819011962466
2026-04-03,1091452,26225,125,29,7195309368.5,7241471358.319,-46161990.96,0.104168981911928
2026-04-04,1028169,25961,125,30,7226939969,6819560051.953,407379904.475,0.106956306571952
2026-04-05,881488,22805,126,30,4410315282.5,4100484079.807,309831199.185,0.101764693364868
2026-04-06,920535,25715,124,30,3920159997.6,3546188972.179,373971025.855,0.104924911097782
2026-04-08,1051810,28686,122,30,3957940640.5,4060181740.623,-102241100.616,0.107833908454596
2026-04-09,1032701,27326,123,30,8128327716.5,7821461309.211,306866407.7,0.107343529493793
2026-04-10,1110491,30358,127,30,3967672248,3921354858.598,46317390.852,0.107108246282622
2026-04-11,1002324,27914,121,30,3508449383.5,3091344001.376,417105375.405,0.106450738731967
2026-04-12,863851,24138,121,30,4713918985,4812794281.262,-98875308.639,0.105414186522572
2026-04-13,769914,21874,120,30,5379124643.5,5305945542.622,73179103.67,0.107488779544601
2026-04-14,949542,28133,116,30,2263239220.2,2190255944.315,72983275.38,0.105988706008703
2026-04-15,962155,25861,119,30,7028247338,6830932587.098,197314748.47,0.108083840279064
2026-04-16,1005336,25686,118,30,3295761170,3145698938.894,150062235.521,0.110707022820539
2026-04-17,949611,24469,116,30,4921325164,4877546998.178,43778153.525,0.107740575199368
2026-04-18,956179,25027,115,30,3150961731.5,3067816404.417,83145325.355,0.109265921716393
2026-04-19,798962,21338,121,30,3580875590,4042242892.201,-461367296.697,0.103858111698784
2026-04-20,745564,20981,124,30,2043867654,2040182588.814,3685071.14,0.106554872747822
2026-04-21,941965,27567,125,30,2551950859,2507373136.015,44577722.84,0.107671932927735
2026-04-22,926600,23695,123,30,3030391355.3,3046474554.98,-16083198.091,0.108218435120255
2026-04-23,866220,23585,125,30,3680195094,3740034059.456,-59838964.87,0.103439741566899
