Field,Type,Null,Key,Default,Extra
__source_pk,varchar(64),NO,true,,
dt,date,NO,true,,
id,varchar(65533),YES,false,,
account,varchar(65533),YES,false,,
password,varchar(65533),YES,false,,
name,varchar(65533),YES,false,,
type,varchar(65533),YES,false,,
roles,varchar(65533),YES,false,,
phone,varchar(65533),YES,false,,
email,varchar(65533),YES,false,,
qq,varchar(65533),YES,false,,
enable,varchar(65533),YES,false,,
status,varchar(65533),YES,false,,
servicemember,varchar(65533),YES,false,,
lasttime,varchar(65533),YES,false,,
lastip,varchar(65533),YES,false,,
addtime,varchar(65533),YES,false,,
addip,varchar(65533),YES,false,,
image,varchar(65533),YES,false,,
image2,varchar(65533),YES,false,,
source_db,varchar(64),YES,false,,
source_table,varchar(128),YES,false,,
ods_table_name,varchar(256),YES,false,,
sync_time,datetime,YES,false,,
