Field,Type,Null,Key,Default,Extra
__source_pk,varchar(64),NO,true,,
dt,date,NO,true,,
id,varchar(65533),YES,false,,
ps_id,varchar(65533),YES,false,,
orderId,varchar(65533),YES,false,,
mid,varchar(65533),YES,false,,
orderTime,varchar(65533),YES,false,,
paymentOrderId,varchar(65533),YES,false,,
currency,varchar(65533),YES,false,,
amount,varchar(65533),YES,false,,
real_amount,varchar(65533),YES,false,,
fee,varchar(65533),YES,false,,
fee_tax,varchar(65533),YES,false,,
status,varchar(65533),YES,false,,
wallet_id,varchar(65533),YES,false,,
iom_id,varchar(65533),YES,false,,
cbtime,varchar(65533),YES,false,,
ip,varchar(65533),YES,false,,
remark,varchar(65533),YES,false,,
source_db,varchar(64),YES,false,,
source_table,varchar(128),YES,false,,
ods_table_name,varchar(256),YES,false,,
sync_time,datetime,YES,false,,
