uid1,uid2,总同桌局数
101153588,145846574,3971
90473758,142020180,2604
123591261,135444165,2596
145846574,150014770,2510
20528051,139169953,2383
125487212,145846574,2171
114881779,142020180,2065
40677431,123591261,2059
142020180,144554498,2020
72216248,134611684,1973
72216248,146253297,1944
49285724,101153588,1934
120316504,123483915,1916
38559714,120046662,1862
139169953,142020180,1825
123591261,146314916,1805
120046662,120316504,1796
142014010,142020180,1780
72216248,101054871,1736
125487212,141556233,1730
72216248,123483915,1728
38559714,132513825,1710
106195450,135444165,1696
97049257,123591261,1695
52169523,141556233,1694
6255961,81846921,1694
114881779,120316504,1678
81846921,135715113,1642
123903499,139169953,1636
20528051,90473758,1630
97049257,101153588,1628
7697855,123591261,1564
40677431,142020180,1562
142020180,147129280,1560
101153588,146793502,1549
38559714,139045947,1536
6255961,150014770,1534
139169953,149651647,1508
81862362,142020180,1488
114881779,141556233,1483
72216248,147248284,1472
89596067,142020180,1442
145846574,152670767,1416
123903499,125487212,1414
106195450,113311676,1413
123903499,150014770,1407
134611684,145846574,1403
133169778,142020180,1396
72216248,122650490,1394
20528051,124073014,1392
7079277,142020180,1382
7462908,142020180,1370
123115889,145846574,1369
114881779,135715113,1367
120316504,147248284,1355
145846574,146793502,1355
120316504,135444165,1353
112356167,123591261,1353
101153588,132513825,1326
40677431,101153588,1325
123591261,148093568,1317
72216248,132499625,1310
20528051,118402175,1307
110449804,142020180,1303
142012746,145846574,1302
125487212,135715113,1298
20528051,148196307,1287
123591261,148541506,1282
123903499,145846574,1276
142020180,143901669,1275
116343053,142020180,1271
142327375,145846574,1270
80499351,145846574,1270
120249935,137670394,1262
101153588,113211660,1258
121732938,145846574,1258
137242099,142020180,1241
139169953,150014770,1218
120316504,139169953,1215
20528051,89353522,1213
23071490,123591261,1212
114907001,145846574,1211
130054688,142020180,1205
61048989,123591261,1201
135715113,145846574,1196
31160697,90473758,1194
129533265,142020180,1185
101153588,133054869,1184
123483915,135444165,1184
122558344,142020180,1184
113375267,146554769,1178
72216248,148175647,1177
142024819,145846574,1176
90473758,142478759,1170
113375267,139169953,1161
146517701,149651647,1161
137014834,142020180,1161
123591261,148169878,1157
72216248,142995492,1156
49285724,145846574,1155
6255961,7697855,1153
20528051,114881779,1151
123591261,124835041,1149
90473758,118118853,1145
65060864,145846574,1142
101506309,152352973,1133
118719977,152638777,1133
123591261,149651647,1130
113375267,140287512,1124
142020180,145524668,1124
122558344,145846574,1120
38559714,141556233,1119
139045947,142020180,1118
120046662,142327375,1114
72216248,145382253,1113
113311676,123483915,1113
150132692,151680913,1113
20528051,145524668,1110
10649454,72216248,1108
101506309,123591261,1108
114052882,123591261,1107
101153588,141556233,1102
124835041,142020180,1098
101506309,139169953,1095
141556233,142024935,1092
101211241,145846574,1092
120249935,149651647,1090
80499351,121732938,1086
50221060,141556233,1081
142020180,148630990,1081
10649454,142020180,1076
72216248,137462372,1075
125487212,146517701,1074
135715113,151384275,1074
140445234,149651647,1073
126404796,135715113,1073
120316504,148437837,1068
125487212,139169953,1068
113375267,131378925,1057
72216248,73703589,1057
101506309,125487212,1056
123903499,131113734,1054
142020180,150464062,1047
141556233,150389642,1039
139169953,141556233,1038
146517701,152638777,1038
101153588,130846878,1036
118118853,125552398,1034
131113734,142020180,1030
113211660,121732938,1024
120013995,145846574,1023
72216248,123667531,1020
116343053,149651647,1019
81846921,125487212,1017
110916977,123483915,1012
120046662,123115889,1009
113375267,135715113,1008
135444165,146793502,1008
123591261,142318749,1005
65852405,123591261,1004
101153588,124073014,1003
118419115,142020180,1002
132309454,145846574,1000
139169953,147601011,996
123903499,143436007,993
142020180,142391599,990
142478759,145846574,986
65468059,101153588,984
142024935,142478759,984
126476279,145846574,984
20528051,134503813,983
113211660,142020180,981
101153588,139169953,974
83688268,113211660,971
142020180,146973606,967
126404796,146517701,967
142008057,146517701,965
101153588,148417908,964
135444165,142014010,964
120316504,142478759,962
142008057,142020180,962
24862477,120316504,957
7697855,132513825,956
72216248,136885752,953
89596067,101506309,951
106195450,146970658,949
125487212,135444165,948
123903499,129822391,943
139813870,142020180,937
129822391,137670394,937
49285724,131067716,934
123483915,125665720,932
134611684,142020180,929
13049252,135444165,928
139570642,142020180,925
113311676,118118853,923
123591261,151591057,920
132266683,142478759,915
115314671,123591261,912
113211660,146973606,911
47651653,120316504,910
123591261,139570642,906
93613436,145846574,906
110449804,145846574,906
113375267,142318749,905
